state,season,week_ending_date,age_category,sex,race,rate,cumulative_rate
California,2022-23,2023-02-11T00:00:00.000,5-17 years,All,All,0.4,11.4
Utah,2022-23,2023-02-11T00:00:00.000,5-17 years,All,All,0,36
Maryland,2022-23,2023-02-11T00:00:00.000,5-17 years,All,All,0,13.9
Tennessee,2022-23,2023-02-11T00:00:00.000,5-17 years,All,All,0,8.5
Minnesota,2022-23,2023-02-11T00:00:00.000,5-17 years,All,All,0.2,17
RSV-NET,2022-23,2023-02-11T00:00:00.000,5-17 years,All,All,0.2,18.5
Oregon,2022-23,2023-02-11T00:00:00.000,5-17 years,All,All,0,11.3
New York,2022-23,2023-02-11T00:00:00.000,5-17 years,All,All,0,26.5
Connecticut,2022-23,2023-02-11T00:00:00.000,5-17 years,All,All,0.7,20.6
Michigan,2022-23,2023-02-11T00:00:00.000,5-17 years,All,All,0,29.8
Georgia,2022-23,2023-02-11T00:00:00.000,5-17 years,All,All,0.1,6.8
New Mexico,2022-23,2023-02-11T00:00:00.000,5-17 years,All,All,1,53.1
Utah,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,0.4,36.4
Maryland,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,0,13.9
Tennessee,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,0,8.5
Minnesota,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,0,17
RSV-NET,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,0.1,18.7
New York,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,0,26.5
Oregon,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,0,11.3
Connecticut,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,1.3,21.9
Michigan,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,0,29.8
Georgia,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,0.1,7
New Mexico,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,1,54.1
Colorado,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,0.2,37.2
California,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,0,11.4
Colorado,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,37.2
California,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,11.4
Utah,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,36.4
Maryland,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,13.9
Tennessee,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,8.5
Minnesota,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,17
RSV-NET,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,18.7
Georgia,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,7
Oregon,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,11.3
New York,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,26.5
Connecticut,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,21.9
Michigan,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,29.8
New Mexico,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,54.1
Utah,2022-23,2023-03-04T00:00:00.000,5-17 years,All,All,0,36.4
Maryland,2022-23,2023-03-04T00:00:00.000,5-17 years,All,All,0,13.9
Tennessee,2022-23,2023-03-04T00:00:00.000,5-17 years,All,All,0,8.5
Minnesota,2022-23,2023-03-04T00:00:00.000,5-17 years,All,All,0,17
RSV-NET,2022-23,2023-03-04T00:00:00.000,5-17 years,All,All,0.1,18.8
Georgia,2022-23,2023-03-04T00:00:00.000,5-17 years,All,All,0.3,7.2
Oregon,2022-23,2023-03-04T00:00:00.000,5-17 years,All,All,0,11.3
Connecticut,2022-23,2023-03-04T00:00:00.000,5-17 years,All,All,0,21.9
Michigan,2022-23,2023-03-04T00:00:00.000,5-17 years,All,All,0,29.8
New York,2022-23,2023-03-04T00:00:00.000,5-17 years,All,All,0,26.5
New Mexico,2022-23,2023-03-04T00:00:00.000,5-17 years,All,All,1,55.1
Colorado,2022-23,2023-03-04T00:00:00.000,5-17 years,All,All,0,37.2
California,2022-23,2023-03-04T00:00:00.000,5-17 years,All,All,0.4,11.8
Colorado,2022-23,2023-03-11T00:00:00.000,5-17 years,All,All,0,37.2
California,2022-23,2023-03-11T00:00:00.000,5-17 years,All,All,0,11.8
Utah,2022-23,2023-03-11T00:00:00.000,5-17 years,All,All,0,36.4
Maryland,2022-23,2023-03-11T00:00:00.000,5-17 years,All,All,0,13.9
Tennessee,2022-23,2023-03-11T00:00:00.000,5-17 years,All,All,0,8.5
Minnesota,2022-23,2023-03-11T00:00:00.000,5-17 years,All,All,0,17
RSV-NET,2022-23,2023-03-11T00:00:00.000,5-17 years,All,All,0,18.8
Oregon,2022-23,2023-03-11T00:00:00.000,5-17 years,All,All,0,11.3
Connecticut,2022-23,2023-03-11T00:00:00.000,5-17 years,All,All,0,21.9
Michigan,2022-23,2023-03-11T00:00:00.000,5-17 years,All,All,0.5,30.3
New York,2022-23,2023-03-11T00:00:00.000,5-17 years,All,All,0,26.5
Georgia,2022-23,2023-03-11T00:00:00.000,5-17 years,All,All,0,7.2
New Mexico,2022-23,2023-03-11T00:00:00.000,5-17 years,All,All,0,55.1
Utah,2022-23,2023-03-18T00:00:00.000,5-17 years,All,All,0,36.4
Maryland,2022-23,2023-03-18T00:00:00.000,5-17 years,All,All,0,13.9
Tennessee,2022-23,2023-03-18T00:00:00.000,5-17 years,All,All,0,8.5
Minnesota,2022-23,2023-03-18T00:00:00.000,5-17 years,All,All,0,17
RSV-NET,2022-23,2023-03-18T00:00:00.000,5-17 years,All,All,0.1,18.9
Georgia,2022-23,2023-03-18T00:00:00.000,5-17 years,All,All,0,7.2
Oregon,2022-23,2023-03-18T00:00:00.000,5-17 years,All,All,0,11.3
Connecticut,2022-23,2023-03-18T00:00:00.000,5-17 years,All,All,0.7,22.6
Michigan,2022-23,2023-03-18T00:00:00.000,5-17 years,All,All,0.5,30.9
New York,2022-23,2023-03-18T00:00:00.000,5-17 years,All,All,0,26.5
New Mexico,2022-23,2023-03-18T00:00:00.000,5-17 years,All,All,1,56
Colorado,2022-23,2023-03-18T00:00:00.000,5-17 years,All,All,0,37.2
California,2022-23,2023-03-18T00:00:00.000,5-17 years,All,All,0.2,12
Colorado,2022-23,2023-03-25T00:00:00.000,5-17 years,All,All,0.2,37.4
California,2022-23,2023-03-25T00:00:00.000,5-17 years,All,All,0,12
Utah,2022-23,2023-03-25T00:00:00.000,5-17 years,All,All,0,36.4
Maryland,2022-23,2023-03-25T00:00:00.000,5-17 years,All,All,0,13.9
Tennessee,2022-23,2023-03-25T00:00:00.000,5-17 years,All,All,0,8.5
Minnesota,2022-23,2023-03-25T00:00:00.000,5-17 years,All,All,0,17
RSV-NET,2022-23,2023-03-25T00:00:00.000,5-17 years,All,All,0,19
Oregon,2022-23,2023-03-25T00:00:00.000,5-17 years,All,All,0,11.3
Georgia,2022-23,2023-03-25T00:00:00.000,5-17 years,All,All,0,7.2
Connecticut,2022-23,2023-03-25T00:00:00.000,5-17 years,All,All,0,22.6
Michigan,2022-23,2023-03-25T00:00:00.000,5-17 years,All,All,0.5,31.4
New York,2022-23,2023-03-25T00:00:00.000,5-17 years,All,All,0,26.5
New Mexico,2022-23,2023-03-25T00:00:00.000,5-17 years,All,All,0,56
Utah,2022-23,2023-04-01T00:00:00.000,5-17 years,All,All,0,36.4
Maryland,2022-23,2023-04-01T00:00:00.000,5-17 years,All,All,0,13.9
Tennessee,2022-23,2023-04-01T00:00:00.000,5-17 years,All,All,0,8.5
Minnesota,2022-23,2023-04-01T00:00:00.000,5-17 years,All,All,0,17
RSV-NET,2022-23,2023-04-01T00:00:00.000,5-17 years,All,All,0,19
Oregon,2022-23,2023-04-01T00:00:00.000,5-17 years,All,All,0,11.3
Connecticut,2022-23,2023-04-01T00:00:00.000,5-17 years,All,All,0,22.6
Michigan,2022-23,2023-04-01T00:00:00.000,5-17 years,All,All,0,31.4
Georgia,2022-23,2023-04-01T00:00:00.000,5-17 years,All,All,0,7.2
New York,2022-23,2023-04-01T00:00:00.000,5-17 years,All,All,0,26.5
New Mexico,2022-23,2023-04-01T00:00:00.000,5-17 years,All,All,0,56
Colorado,2022-23,2023-04-01T00:00:00.000,5-17 years,All,All,0,37.4
California,2022-23,2023-04-01T00:00:00.000,5-17 years,All,All,0,12
Colorado,2022-23,2023-04-08T00:00:00.000,5-17 years,All,All,0,37.4
California,2022-23,2023-04-08T00:00:00.000,5-17 years,All,All,0,12
Utah,2022-23,2023-04-08T00:00:00.000,5-17 years,All,All,0,36.4
Maryland,2022-23,2023-04-08T00:00:00.000,5-17 years,All,All,0,13.9
Tennessee,2022-23,2023-04-08T00:00:00.000,5-17 years,All,All,0,8.5
Minnesota,2022-23,2023-04-08T00:00:00.000,5-17 years,All,All,0,17
RSV-NET,2022-23,2023-04-08T00:00:00.000,5-17 years,All,All,0,19
Oregon,2022-23,2023-04-08T00:00:00.000,5-17 years,All,All,0,11.3
Connecticut,2022-23,2023-04-08T00:00:00.000,5-17 years,All,All,0.7,23.2
Michigan,2022-23,2023-04-08T00:00:00.000,5-17 years,All,All,0,31.4
New York,2022-23,2023-04-08T00:00:00.000,5-17 years,All,All,0,26.5
Georgia,2022-23,2023-04-08T00:00:00.000,5-17 years,All,All,0,7.2
New Mexico,2022-23,2023-04-08T00:00:00.000,5-17 years,All,All,0,56
Utah,2022-23,2023-04-15T00:00:00.000,5-17 years,All,All,0,36.4
Maryland,2022-23,2023-04-15T00:00:00.000,5-17 years,All,All,0.2,14.1
Tennessee,2022-23,2023-04-15T00:00:00.000,5-17 years,All,All,0,8.5
Minnesota,2022-23,2023-04-15T00:00:00.000,5-17 years,All,All,0,17
RSV-NET,2022-23,2023-04-15T00:00:00.000,5-17 years,All,All,0,19
Oregon,2022-23,2023-04-15T00:00:00.000,5-17 years,All,All,0,11.3
Connecticut,2022-23,2023-04-15T00:00:00.000,5-17 years,All,All,0,23.2
Georgia,2022-23,2023-04-15T00:00:00.000,5-17 years,All,All,0.1,7.4
Michigan,2022-23,2023-04-15T00:00:00.000,5-17 years,All,All,0,31.4
New York,2022-23,2023-04-15T00:00:00.000,5-17 years,All,All,0,26.5
New Mexico,2022-23,2023-04-15T00:00:00.000,5-17 years,All,All,0,56
Colorado,2022-23,2023-04-15T00:00:00.000,5-17 years,All,All,0,37.4
California,2022-23,2023-04-15T00:00:00.000,5-17 years,All,All,0,12
Colorado,2022-23,2023-04-22T00:00:00.000,5-17 years,All,All,0,37.4
California,2022-23,2023-04-22T00:00:00.000,5-17 years,All,All,0,12
Utah,2022-23,2023-04-22T00:00:00.000,5-17 years,All,All,0,36.4
Maryland,2022-23,2023-04-22T00:00:00.000,5-17 years,All,All,0,14.1
Tennessee,2022-23,2023-04-22T00:00:00.000,5-17 years,All,All,0,8.5
Minnesota,2022-23,2023-04-22T00:00:00.000,5-17 years,All,All,0,17
RSV-NET,2022-23,2023-04-22T00:00:00.000,5-17 years,All,All,0,19
Oregon,2022-23,2023-04-22T00:00:00.000,5-17 years,All,All,0,11.3
Connecticut,2022-23,2023-04-22T00:00:00.000,5-17 years,All,All,0,23.2
Michigan,2022-23,2023-04-22T00:00:00.000,5-17 years,All,All,0,31.4
New York,2022-23,2023-04-22T00:00:00.000,5-17 years,All,All,0,26.5
Georgia,2022-23,2023-04-22T00:00:00.000,5-17 years,All,All,0,7.4
New Mexico,2022-23,2023-04-22T00:00:00.000,5-17 years,All,All,0,56
Utah,2022-23,2023-04-29T00:00:00.000,5-17 years,All,All,0,36.4
Maryland,2022-23,2023-04-29T00:00:00.000,5-17 years,All,All,0,14.1
Tennessee,2022-23,2023-04-29T00:00:00.000,5-17 years,All,All,0,8.5
Minnesota,2022-23,2023-04-29T00:00:00.000,5-17 years,All,All,0,17
RSV-NET,2022-23,2023-04-29T00:00:00.000,5-17 years,All,All,0,19
Oregon,2022-23,2023-04-29T00:00:00.000,5-17 years,All,All,0,11.3
Connecticut,2022-23,2023-04-29T00:00:00.000,5-17 years,All,All,0,23.2
Michigan,2022-23,2023-04-29T00:00:00.000,5-17 years,All,All,0,31.4
New York,2022-23,2023-04-29T00:00:00.000,5-17 years,All,All,0,26.5
Georgia,2022-23,2023-04-29T00:00:00.000,5-17 years,All,All,0,7.4
New Mexico,2022-23,2023-04-29T00:00:00.000,5-17 years,All,All,0,56
Colorado,2022-23,2023-04-29T00:00:00.000,5-17 years,All,All,0,37.4
California,2022-23,2023-04-29T00:00:00.000,5-17 years,All,All,0,12
Colorado,2022-23,2023-05-06T00:00:00.000,5-17 years,All,All,0,37.4
California,2022-23,2023-05-06T00:00:00.000,5-17 years,All,All,0,12
Utah,2022-23,2023-05-06T00:00:00.000,5-17 years,All,All,0,36.4
Maryland,2022-23,2023-05-06T00:00:00.000,5-17 years,All,All,0,14.1
Tennessee,2022-23,2023-05-06T00:00:00.000,5-17 years,All,All,0.3,8.9
Minnesota,2022-23,2023-05-06T00:00:00.000,5-17 years,All,All,0,17
RSV-NET,2022-23,2023-05-06T00:00:00.000,5-17 years,All,All,0,19.1
Oregon,2022-23,2023-05-06T00:00:00.000,5-17 years,All,All,0,11.3
Connecticut,2022-23,2023-05-06T00:00:00.000,5-17 years,All,All,0,23.2
Georgia,2022-23,2023-05-06T00:00:00.000,5-17 years,All,All,0,7.4
Michigan,2022-23,2023-05-06T00:00:00.000,5-17 years,All,All,0,31.4
New York,2022-23,2023-05-06T00:00:00.000,5-17 years,All,All,0,26.5
New Mexico,2022-23,2023-05-06T00:00:00.000,5-17 years,All,All,0,56
