state,season,week_ending_date,age_category,sex,race,rate,cumulative_rate
Connecticut,2022-23,2023-09-09T00:00:00.000,1-<2 years,All,All,0,553.7
Tennessee,2022-23,2023-09-16T00:00:00.000,1-<2 years,All,All,4.5,222.9
Minnesota,2022-23,2023-09-16T00:00:00.000,1-<2 years,All,All,0,819.7
RSV-NET,2022-23,2023-09-16T00:00:00.000,1-<2 years,All,All,5,623.9
Oregon,2022-23,2023-09-16T00:00:00.000,1-<2 years,All,All,0,362.8
Michigan,2022-23,2023-09-16T00:00:00.000,1-<2 years,All,All,0,882.5
New York,2022-23,2023-09-16T00:00:00.000,1-<2 years,All,All,0,801.1
Georgia,2022-23,2023-09-16T00:00:00.000,1-<2 years,All,All,18.6,260.6
New Mexico,2022-23,2023-09-16T00:00:00.000,1-<2 years,All,All,0,2237.1
Utah,2022-23,2023-09-16T00:00:00.000,1-<2 years,All,All,0,864.9
Maryland,2022-23,2023-09-16T00:00:00.000,1-<2 years,All,All,0,357.4
Connecticut,2022-23,2023-09-16T00:00:00.000,1-<2 years,All,All,0,553.7
Colorado,2022-23,2023-09-16T00:00:00.000,1-<2 years,All,All,6.4,1317.7
California,2022-23,2023-09-16T00:00:00.000,1-<2 years,All,All,5.8,376.9
Colorado,2022-23,2023-09-23T00:00:00.000,1-<2 years,All,All,3.2,1320.9
California,2022-23,2023-09-23T00:00:00.000,1-<2 years,All,All,0,376.9
Tennessee,2022-23,2023-09-23T00:00:00.000,1-<2 years,All,All,0,222.9
Minnesota,2022-23,2023-09-23T00:00:00.000,1-<2 years,All,All,0,819.7
RSV-NET,2022-23,2023-09-23T00:00:00.000,1-<2 years,All,All,5.4,629.3
Oregon,2022-23,2023-09-23T00:00:00.000,1-<2 years,All,All,0,362.8
Michigan,2022-23,2023-09-23T00:00:00.000,1-<2 years,All,All,8.3,890.8
New York,2022-23,2023-09-23T00:00:00.000,1-<2 years,All,All,0,801.1
Georgia,2022-23,2023-09-23T00:00:00.000,1-<2 years,All,All,22.8,283.4
New Mexico,2022-23,2023-09-23T00:00:00.000,1-<2 years,All,All,0,2237.1
Utah,2022-23,2023-09-23T00:00:00.000,1-<2 years,All,All,0,864.9
Maryland,2022-23,2023-09-23T00:00:00.000,1-<2 years,All,All,0,357.4
Connecticut,2022-23,2023-09-23T00:00:00.000,1-<2 years,All,All,20.5,574.2
Tennessee,2022-23,2023-09-30T00:00:00.000,1-<2 years,All,All,13.6,236.6
Minnesota,2022-23,2023-09-30T00:00:00.000,1-<2 years,All,All,2.8,822.5
RSV-NET,2022-23,2023-09-30T00:00:00.000,1-<2 years,All,All,10.8,640
Oregon,2022-23,2023-09-30T00:00:00.000,1-<2 years,All,All,0,362.8
Michigan,2022-23,2023-09-30T00:00:00.000,1-<2 years,All,All,0,890.8
New York,2022-23,2023-09-30T00:00:00.000,1-<2 years,All,All,5.9,807
Georgia,2022-23,2023-09-30T00:00:00.000,1-<2 years,All,All,43.4,326.8
New Mexico,2022-23,2023-09-30T00:00:00.000,1-<2 years,All,All,0,2237.1
Connecticut,2022-23,2023-09-30T00:00:00.000,1-<2 years,All,All,0,574.2
Maryland,2022-23,2023-09-30T00:00:00.000,1-<2 years,All,All,6.6,363.9
Utah,2022-23,2023-09-30T00:00:00.000,1-<2 years,All,All,0,864.9
Colorado,2022-23,2023-09-30T00:00:00.000,1-<2 years,All,All,0,1320.9
California,2022-23,2023-09-30T00:00:00.000,1-<2 years,All,All,5.8,382.7
Utah,2023-24,2023-10-07T00:00:00.000,1-<2 years,All,All,7,7
Tennessee,2023-24,2023-10-07T00:00:00.000,1-<2 years,All,All,18.2,18.2
RSV-NET,2023-24,2023-10-07T00:00:00.000,1-<2 years,All,All,11.3,11.3
Oregon,2023-24,2023-10-07T00:00:00.000,1-<2 years,All,All,5.9,5.9
New York,2023-24,2023-10-07T00:00:00.000,1-<2 years,All,All,9.7,9.7
New Mexico,2023-24,2023-10-07T00:00:00.000,1-<2 years,All,All,16,16
Minnesota,2023-24,2023-10-07T00:00:00.000,1-<2 years,All,All,5.6,5.6
Michigan,2023-24,2023-10-07T00:00:00.000,1-<2 years,All,All,0,0
Maryland,2023-24,2023-10-07T00:00:00.000,1-<2 years,All,All,0,0
Georgia,2023-24,2023-10-07T00:00:00.000,1-<2 years,All,All,33.1,33.1
Connecticut,2023-24,2023-10-07T00:00:00.000,1-<2 years,All,All,0,0
Colorado,2023-24,2023-10-07T00:00:00.000,1-<2 years,All,All,3.2,3.2
California,2023-24,2023-10-07T00:00:00.000,1-<2 years,All,All,11.5,11.5
Utah,2023-24,2023-10-14T00:00:00.000,1-<2 years,All,All,0,7
Tennessee,2023-24,2023-10-14T00:00:00.000,1-<2 years,All,All,18.2,36.4
RSV-NET,2023-24,2023-10-14T00:00:00.000,1-<2 years,All,All,12.3,23.6
Oregon,2023-24,2023-10-14T00:00:00.000,1-<2 years,All,All,5.9,11.9
New York,2023-24,2023-10-14T00:00:00.000,1-<2 years,All,All,0,9.7
New Mexico,2023-24,2023-10-14T00:00:00.000,1-<2 years,All,All,0,16
Minnesota,2023-24,2023-10-14T00:00:00.000,1-<2 years,All,All,8.5,14.1
Michigan,2023-24,2023-10-14T00:00:00.000,1-<2 years,All,All,8.3,8.3
Maryland,2023-24,2023-10-14T00:00:00.000,1-<2 years,All,All,13.1,13.1
Georgia,2023-24,2023-10-14T00:00:00.000,1-<2 years,All,All,24.8,57.9
Connecticut,2023-24,2023-10-14T00:00:00.000,1-<2 years,All,All,8.8,8.8
Colorado,2023-24,2023-10-14T00:00:00.000,1-<2 years,All,All,12.9,16.1
California,2023-24,2023-10-14T00:00:00.000,1-<2 years,All,All,14.4,25.9
Utah,2023-24,2023-10-21T00:00:00.000,1-<2 years,All,All,0,7
Tennessee,2023-24,2023-10-21T00:00:00.000,1-<2 years,All,All,13.6,50
RSV-NET,2023-24,2023-10-21T00:00:00.000,1-<2 years,All,All,16.9,40.6
Oregon,2023-24,2023-10-21T00:00:00.000,1-<2 years,All,All,0,11.9
New York,2023-24,2023-10-21T00:00:00.000,1-<2 years,All,All,14.6,24.3
New Mexico,2023-24,2023-10-21T00:00:00.000,1-<2 years,All,All,16,32
Minnesota,2023-24,2023-10-21T00:00:00.000,1-<2 years,All,All,5.6,19.7
Michigan,2023-24,2023-10-21T00:00:00.000,1-<2 years,All,All,50,58.3
Maryland,2023-24,2023-10-21T00:00:00.000,1-<2 years,All,All,26.2,39.3
Georgia,2023-24,2023-10-21T00:00:00.000,1-<2 years,All,All,35.2,93.1
Connecticut,2023-24,2023-10-21T00:00:00.000,1-<2 years,All,All,8.8,17.7
Colorado,2023-24,2023-10-21T00:00:00.000,1-<2 years,All,All,12.9,29
California,2023-24,2023-10-21T00:00:00.000,1-<2 years,All,All,8.6,34.5
Utah,2023-24,2023-10-28T00:00:00.000,1-<2 years,All,All,7,13.9
Tennessee,2023-24,2023-10-28T00:00:00.000,1-<2 years,All,All,27.3,77.3
RSV-NET,2023-24,2023-10-28T00:00:00.000,1-<2 years,All,All,13.8,54.3
Oregon,2023-24,2023-10-28T00:00:00.000,1-<2 years,All,All,0,11.9
New York,2023-24,2023-10-28T00:00:00.000,1-<2 years,All,All,4.9,29.1
New Mexico,2023-24,2023-10-28T00:00:00.000,1-<2 years,All,All,0,32
Minnesota,2023-24,2023-10-28T00:00:00.000,1-<2 years,All,All,11.3,31
Michigan,2023-24,2023-10-28T00:00:00.000,1-<2 years,All,All,0,58.3
Maryland,2023-24,2023-10-28T00:00:00.000,1-<2 years,All,All,23,62.3
Georgia,2023-24,2023-10-28T00:00:00.000,1-<2 years,All,All,22.8,115.8
Connecticut,2023-24,2023-10-28T00:00:00.000,1-<2 years,All,All,53,70.6
Colorado,2023-24,2023-10-28T00:00:00.000,1-<2 years,All,All,9.7,38.7
California,2023-24,2023-10-28T00:00:00.000,1-<2 years,All,All,0,34.5
Utah,2023-24,2023-11-04T00:00:00.000,1-<2 years,All,All,7,20.9
Tennessee,2023-24,2023-11-04T00:00:00.000,1-<2 years,All,All,27.3,104.6
RSV-NET,2023-24,2023-11-04T00:00:00.000,1-<2 years,All,All,15.5,69.9
Oregon,2023-24,2023-11-04T00:00:00.000,1-<2 years,All,All,11.9,23.8
New York,2023-24,2023-11-04T00:00:00.000,1-<2 years,All,All,9.7,38.8
New Mexico,2023-24,2023-11-04T00:00:00.000,1-<2 years,All,All,32,63.9
Minnesota,2023-24,2023-11-04T00:00:00.000,1-<2 years,All,All,5.6,36.6
Michigan,2023-24,2023-11-04T00:00:00.000,1-<2 years,All,All,16.7,74.9
Maryland,2023-24,2023-11-04T00:00:00.000,1-<2 years,All,All,26.2,88.5
Georgia,2023-24,2023-11-04T00:00:00.000,1-<2 years,All,All,20.7,136.5
Connecticut,2023-24,2023-11-04T00:00:00.000,1-<2 years,All,All,26.5,97.1
Colorado,2023-24,2023-11-04T00:00:00.000,1-<2 years,All,All,9.7,48.3
California,2023-24,2023-11-04T00:00:00.000,1-<2 years,All,All,8.6,43.2
Utah,2023-24,2023-11-11T00:00:00.000,1-<2 years,All,All,27.9,48.8
Tennessee,2023-24,2023-11-11T00:00:00.000,1-<2 years,All,All,27.3,131.9
RSV-NET,2023-24,2023-11-11T00:00:00.000,1-<2 years,All,All,27.2,97
Oregon,2023-24,2023-11-11T00:00:00.000,1-<2 years,All,All,5.9,29.7
New York,2023-24,2023-11-11T00:00:00.000,1-<2 years,All,All,34,72.8
New Mexico,2023-24,2023-11-11T00:00:00.000,1-<2 years,All,All,79.9,143.8
Minnesota,2023-24,2023-11-11T00:00:00.000,1-<2 years,All,All,19.7,56.3
Michigan,2023-24,2023-11-11T00:00:00.000,1-<2 years,All,All,25,99.9
Maryland,2023-24,2023-11-11T00:00:00.000,1-<2 years,All,All,42.6,131.1
Georgia,2023-24,2023-11-11T00:00:00.000,1-<2 years,All,All,29,165.5
Connecticut,2023-24,2023-11-11T00:00:00.000,1-<2 years,All,All,8.8,105.9
Colorado,2023-24,2023-11-11T00:00:00.000,1-<2 years,All,All,48.3,96.6
California,2023-24,2023-11-11T00:00:00.000,1-<2 years,All,All,2.9,46
Utah,2023-24,2023-11-18T00:00:00.000,1-<2 years,All,All,0,48.8
Tennessee,2023-24,2023-11-18T00:00:00.000,1-<2 years,All,All,18.2,150.1
RSV-NET,2023-24,2023-11-18T00:00:00.000,1-<2 years,All,All,29.6,126.6
Oregon,2023-24,2023-11-18T00:00:00.000,1-<2 years,All,All,23.8,53.5
New York,2023-24,2023-11-18T00:00:00.000,1-<2 years,All,All,38.8,111.7
New Mexico,2023-24,2023-11-18T00:00:00.000,1-<2 years,All,All,79.9,223.7
Minnesota,2023-24,2023-11-18T00:00:00.000,1-<2 years,All,All,39.4,95.8
Michigan,2023-24,2023-11-18T00:00:00.000,1-<2 years,All,All,16.7,116.6
Maryland,2023-24,2023-11-18T00:00:00.000,1-<2 years,All,All,39.3,170.5
Georgia,2023-24,2023-11-18T00:00:00.000,1-<2 years,All,All,20.7,186.2
Connecticut,2023-24,2023-11-18T00:00:00.000,1-<2 years,All,All,61.8,167.7
Colorado,2023-24,2023-11-18T00:00:00.000,1-<2 years,All,All,35.4,132.1
California,2023-24,2023-11-18T00:00:00.000,1-<2 years,All,All,20.1,66.2
Utah,2023-24,2023-11-25T00:00:00.000,1-<2 years,All,All,7,55.8
Tennessee,2023-24,2023-11-25T00:00:00.000,1-<2 years,All,All,13.6,163.8
RSV-NET,2023-24,2023-11-25T00:00:00.000,1-<2 years,All,All,27.9,154.5
Oregon,2023-24,2023-11-25T00:00:00.000,1-<2 years,All,All,11.9,65.4
New York,2023-24,2023-11-25T00:00:00.000,1-<2 years,All,All,19.4,131.1
New Mexico,2023-24,2023-11-25T00:00:00.000,1-<2 years,All,All,111.9,335.6
Minnesota,2023-24,2023-11-25T00:00:00.000,1-<2 years,All,All,39.4,135.2
Michigan,2023-24,2023-11-25T00:00:00.000,1-<2 years,All,All,41.6,158.2
Maryland,2023-24,2023-11-25T00:00:00.000,1-<2 years,All,All,29.5,200
Georgia,2023-24,2023-11-25T00:00:00.000,1-<2 years,All,All,18.6,204.8
Connecticut,2023-24,2023-11-25T00:00:00.000,1-<2 years,All,All,53,220.7
Colorado,2023-24,2023-11-25T00:00:00.000,1-<2 years,All,All,32.2,164.3
California,2023-24,2023-11-25T00:00:00.000,1-<2 years,All,All,25.9,92.1
Utah,2023-24,2023-12-02T00:00:00.000,1-<2 years,All,All,13.9,69.7
Tennessee,2023-24,2023-12-02T00:00:00.000,1-<2 years,All,All,9.1,172.9
RSV-NET,2023-24,2023-12-02T00:00:00.000,1-<2 years,All,All,28.9,183.4
Oregon,2023-24,2023-12-02T00:00:00.000,1-<2 years,All,All,17.8,83.3
Maryland,2023-24,2023-12-02T00:00:00.000,1-<2 years,All,All,16.4,216.4
New York,2023-24,2023-12-02T00:00:00.000,1-<2 years,All,All,38.8,170
New Mexico,2023-24,2023-12-02T00:00:00.000,1-<2 years,All,All,143.8,479.4
Minnesota,2023-24,2023-12-02T00:00:00.000,1-<2 years,All,All,50.7,185.9
Michigan,2023-24,2023-12-02T00:00:00.000,1-<2 years,All,All,25,183.2
Georgia,2023-24,2023-12-02T00:00:00.000,1-<2 years,All,All,16.5,221.3
Connecticut,2023-24,2023-12-02T00:00:00.000,1-<2 years,All,All,44.1,264.8
Colorado,2023-24,2023-12-02T00:00:00.000,1-<2 years,All,All,48.3,212.6
California,2023-24,2023-12-02T00:00:00.000,1-<2 years,All,All,11.5,103.6
Utah,2023-24,2023-12-09T00:00:00.000,1-<2 years,All,All,34.9,104.6
Tennessee,2023-24,2023-12-09T00:00:00.000,1-<2 years,All,All,9.1,182
RSV-NET,2023-24,2023-12-09T00:00:00.000,1-<2 years,All,All,33.5,217
Oregon,2023-24,2023-12-09T00:00:00.000,1-<2 years,All,All,11.9,95.2
New York,2023-24,2023-12-09T00:00:00.000,1-<2 years,All,All,29.1,199.1
New Mexico,2023-24,2023-12-09T00:00:00.000,1-<2 years,All,All,95.9,575.3
Minnesota,2023-24,2023-12-09T00:00:00.000,1-<2 years,All,All,78.9,264.8
Michigan,2023-24,2023-12-09T00:00:00.000,1-<2 years,All,All,41.6,224.8
Maryland,2023-24,2023-12-09T00:00:00.000,1-<2 years,All,All,19.7,236.1
Georgia,2023-24,2023-12-09T00:00:00.000,1-<2 years,All,All,12.4,233.8
Connecticut,2023-24,2023-12-09T00:00:00.000,1-<2 years,All,All,17.7,282.4
Colorado,2023-24,2023-12-09T00:00:00.000,1-<2 years,All,All,77.3,289.9
California,2023-24,2023-12-09T00:00:00.000,1-<2 years,All,All,8.6,112.2
Utah,2023-24,2023-12-16T00:00:00.000,1-<2 years,All,All,27.9,132.5
Tennessee,2023-24,2023-12-16T00:00:00.000,1-<2 years,All,All,9.1,191.1
RSV-NET,2023-24,2023-12-16T00:00:00.000,1-<2 years,All,All,40.6,257.5
Oregon,2023-24,2023-12-16T00:00:00.000,1-<2 years,All,All,29.7,124.9
New York,2023-24,2023-12-16T00:00:00.000,1-<2 years,All,All,53.4,252.5
New Mexico,2023-24,2023-12-16T00:00:00.000,1-<2 years,All,All,303.6,878.9
Minnesota,2023-24,2023-12-16T00:00:00.000,1-<2 years,All,All,64.8,329.6
Michigan,2023-24,2023-12-16T00:00:00.000,1-<2 years,All,All,66.6,291.4
Maryland,2023-24,2023-12-16T00:00:00.000,1-<2 years,All,All,26.2,262.3
Georgia,2023-24,2023-12-16T00:00:00.000,1-<2 years,All,All,10.3,244.1
Connecticut,2023-24,2023-12-16T00:00:00.000,1-<2 years,All,All,17.7,300.1
Colorado,2023-24,2023-12-16T00:00:00.000,1-<2 years,All,All,77.3,367.3
California,2023-24,2023-12-16T00:00:00.000,1-<2 years,All,All,11.5,123.7
Utah,2023-24,2023-12-23T00:00:00.000,1-<2 years,All,All,48.8,181.3
Tennessee,2023-24,2023-12-23T00:00:00.000,1-<2 years,All,All,18.2,209.3
RSV-NET,2023-24,2023-12-23T00:00:00.000,1-<2 years,All,All,38.5,296
Oregon,2023-24,2023-12-23T00:00:00.000,1-<2 years,All,All,23.8,148.7
New York,2023-24,2023-12-23T00:00:00.000,1-<2 years,All,All,24.3,276.8
New Mexico,2023-24,2023-12-23T00:00:00.000,1-<2 years,All,All,207.7,1086.6
Minnesota,2023-24,2023-12-23T00:00:00.000,1-<2 years,All,All,59.2,388.7
Michigan,2023-24,2023-12-23T00:00:00.000,1-<2 years,All,All,50,341.3
Maryland,2023-24,2023-12-23T00:00:00.000,1-<2 years,All,All,19.7,282
Georgia,2023-24,2023-12-23T00:00:00.000,1-<2 years,All,All,8.3,252.4
Connecticut,2023-24,2023-12-23T00:00:00.000,1-<2 years,All,All,35.3,335.4
Colorado,2023-24,2023-12-23T00:00:00.000,1-<2 years,All,All,103.1,470.4
California,2023-24,2023-12-23T00:00:00.000,1-<2 years,All,All,8.6,132.4
Utah,2023-24,2023-12-30T00:00:00.000,1-<2 years,All,All,27.9,209.2
Tennessee,2023-24,2023-12-30T00:00:00.000,1-<2 years,All,All,4.5,213.8
RSV-NET,2023-24,2023-12-30T00:00:00.000,1-<2 years,All,All,37,333
Oregon,2023-24,2023-12-30T00:00:00.000,1-<2 years,All,All,17.8,166.5
New York,2023-24,2023-12-30T00:00:00.000,1-<2 years,All,All,68,344.8
New Mexico,2023-24,2023-12-30T00:00:00.000,1-<2 years,All,All,143.8,1230.4
Minnesota,2023-24,2023-12-30T00:00:00.000,1-<2 years,All,All,78.9,467.6
Michigan,2023-24,2023-12-30T00:00:00.000,1-<2 years,All,All,25,366.3
Maryland,2023-24,2023-12-30T00:00:00.000,1-<2 years,All,All,9.8,291.8
Georgia,2023-24,2023-12-30T00:00:00.000,1-<2 years,All,All,8.3,260.6
Connecticut,2023-24,2023-12-30T00:00:00.000,1-<2 years,All,All,35.3,370.7
Colorado,2023-24,2023-12-30T00:00:00.000,1-<2 years,All,All,90.2,560.6
California,2023-24,2023-12-30T00:00:00.000,1-<2 years,All,All,11.5,143.9
Utah,2023-24,2024-01-06T00:00:00.000,1-<2 years,All,All,27.9,237.1
Tennessee,2023-24,2024-01-06T00:00:00.000,1-<2 years,All,All,18.2,232
RSV-NET,2023-24,2024-01-06T00:00:00.000,1-<2 years,All,All,34.6,367.6
Oregon,2023-24,2024-01-06T00:00:00.000,1-<2 years,All,All,11.9,178.4
New York,2023-24,2024-01-06T00:00:00.000,1-<2 years,All,All,34,378.8
New Mexico,2023-24,2024-01-06T00:00:00.000,1-<2 years,All,All,223.7,1454.1
Minnesota,2023-24,2024-01-06T00:00:00.000,1-<2 years,All,All,53.5,521.1
Michigan,2023-24,2024-01-06T00:00:00.000,1-<2 years,All,All,33.3,399.6
Maryland,2023-24,2024-01-06T00:00:00.000,1-<2 years,All,All,23,314.8
Georgia,2023-24,2024-01-06T00:00:00.000,1-<2 years,All,All,8.3,268.9
Connecticut,2023-24,2024-01-06T00:00:00.000,1-<2 years,All,All,17.7,388.3
Colorado,2023-24,2024-01-06T00:00:00.000,1-<2 years,All,All,83.8,644.3
California,2023-24,2024-01-06T00:00:00.000,1-<2 years,All,All,14.4,158.3
Utah,2023-24,2024-01-13T00:00:00.000,1-<2 years,All,All,55.8,292.9
Tennessee,2023-24,2024-01-13T00:00:00.000,1-<2 years,All,All,9.1,241.1
RSV-NET,2023-24,2024-01-13T00:00:00.000,1-<2 years,All,All,23.6,391.2
Oregon,2023-24,2024-01-13T00:00:00.000,1-<2 years,All,All,5.9,184.4
New York,2023-24,2024-01-13T00:00:00.000,1-<2 years,All,All,19.4,398.2
New Mexico,2023-24,2024-01-13T00:00:00.000,1-<2 years,All,All,79.9,1534
Minnesota,2023-24,2024-01-13T00:00:00.000,1-<2 years,All,All,47.9,569
Michigan,2023-24,2024-01-13T00:00:00.000,1-<2 years,All,All,0,399.6
Maryland,2023-24,2024-01-13T00:00:00.000,1-<2 years,All,All,13.1,327.9
Georgia,2023-24,2024-01-13T00:00:00.000,1-<2 years,All,All,6.2,275.1
Connecticut,2023-24,2024-01-13T00:00:00.000,1-<2 years,All,All,17.7,406
Colorado,2023-24,2024-01-13T00:00:00.000,1-<2 years,All,All,58,702.3
California,2023-24,2024-01-13T00:00:00.000,1-<2 years,All,All,8.6,166.9
Utah,2023-24,2024-01-20T00:00:00.000,1-<2 years,All,All,55.8,348.7
Tennessee,2023-24,2024-01-20T00:00:00.000,1-<2 years,All,All,13.6,254.8
RSV-NET,2023-24,2024-01-20T00:00:00.000,1-<2 years,All,All,17.6,408.9
Oregon,2023-24,2024-01-20T00:00:00.000,1-<2 years,All,All,11.9,196.3
New York,2023-24,2024-01-20T00:00:00.000,1-<2 years,All,All,4.9,403
New Mexico,2023-24,2024-01-20T00:00:00.000,1-<2 years,All,All,95.9,1629.9
Minnesota,2023-24,2024-01-20T00:00:00.000,1-<2 years,All,All,22.5,591.5
Michigan,2023-24,2024-01-20T00:00:00.000,1-<2 years,All,All,25,424.6
Maryland,2023-24,2024-01-20T00:00:00.000,1-<2 years,All,All,6.6,334.4
Georgia,2023-24,2024-01-20T00:00:00.000,1-<2 years,All,All,4.1,279.3
Connecticut,2023-24,2024-01-20T00:00:00.000,1-<2 years,All,All,0,406
Colorado,2023-24,2024-01-20T00:00:00.000,1-<2 years,All,All,48.3,750.6
California,2023-24,2024-01-20T00:00:00.000,1-<2 years,All,All,0,166.9
Utah,2023-24,2024-01-27T00:00:00.000,1-<2 years,All,All,55.8,404.5
Tennessee,2023-24,2024-01-27T00:00:00.000,1-<2 years,All,All,4.5,259.3
RSV-NET,2023-24,2024-01-27T00:00:00.000,1-<2 years,All,All,20.1,429
Oregon,2023-24,2024-01-27T00:00:00.000,1-<2 years,All,All,0,196.3
New York,2023-24,2024-01-27T00:00:00.000,1-<2 years,All,All,9.7,412.7
New Mexico,2023-24,2024-01-27T00:00:00.000,1-<2 years,All,All,159.8,1789.7
Minnesota,2023-24,2024-01-27T00:00:00.000,1-<2 years,All,All,19.7,611.3
Michigan,2023-24,2024-01-27T00:00:00.000,1-<2 years,All,All,0,424.6
Maryland,2023-24,2024-01-27T00:00:00.000,1-<2 years,All,All,3.3,337.7
Georgia,2023-24,2024-01-27T00:00:00.000,1-<2 years,All,All,2.1,281.3
Connecticut,2023-24,2024-01-27T00:00:00.000,1-<2 years,All,All,0,406
Colorado,2023-24,2024-01-27T00:00:00.000,1-<2 years,All,All,64.4,815.1
California,2023-24,2024-01-27T00:00:00.000,1-<2 years,All,All,20.1,187
Utah,2023-24,2024-02-03T00:00:00.000,1-<2 years,All,All,20.9,425.5
Tennessee,2023-24,2024-02-03T00:00:00.000,1-<2 years,All,All,0,259.3
RSV-NET,2023-24,2024-02-03T00:00:00.000,1-<2 years,All,All,10.2,439.2
Oregon,2023-24,2024-02-03T00:00:00.000,1-<2 years,All,All,5.9,202.2
New York,2023-24,2024-02-03T00:00:00.000,1-<2 years,All,All,14.6,427.3
New Mexico,2023-24,2024-02-03T00:00:00.000,1-<2 years,All,All,63.9,1853.6
Minnesota,2023-24,2024-02-03T00:00:00.000,1-<2 years,All,All,2.8,614.1
Michigan,2023-24,2024-02-03T00:00:00.000,1-<2 years,All,All,0,424.6
Maryland,2023-24,2024-02-03T00:00:00.000,1-<2 years,All,All,0,337.7
Georgia,2023-24,2024-02-03T00:00:00.000,1-<2 years,All,All,2.1,283.4
Connecticut,2023-24,2024-02-03T00:00:00.000,1-<2 years,All,All,8.8,414.8
Colorado,2023-24,2024-02-03T00:00:00.000,1-<2 years,All,All,32.2,847.3
California,2023-24,2024-02-03T00:00:00.000,1-<2 years,All,All,14.4,201.4
Utah,2023-24,2024-02-10T00:00:00.000,1-<2 years,All,All,27.9,453.4
Tennessee,2023-24,2024-02-10T00:00:00.000,1-<2 years,All,All,9.1,268.4
RSV-NET,2023-24,2024-02-10T00:00:00.000,1-<2 years,All,All,12.7,451.9
Oregon,2023-24,2024-02-10T00:00:00.000,1-<2 years,All,All,5.9,208.1
New York,2023-24,2024-02-10T00:00:00.000,1-<2 years,All,All,14.6,441.9
New Mexico,2023-24,2024-02-10T00:00:00.000,1-<2 years,All,All,63.9,1917.5
Minnesota,2023-24,2024-02-10T00:00:00.000,1-<2 years,All,All,11.3,625.4
Michigan,2023-24,2024-02-10T00:00:00.000,1-<2 years,All,All,8.3,432.9
Maryland,2023-24,2024-02-10T00:00:00.000,1-<2 years,All,All,0,337.7
Georgia,2023-24,2024-02-10T00:00:00.000,1-<2 years,All,All,8.3,291.7
Connecticut,2023-24,2024-02-10T00:00:00.000,1-<2 years,All,All,0,414.8
Colorado,2023-24,2024-02-10T00:00:00.000,1-<2 years,All,All,38.7,886
California,2023-24,2024-02-10T00:00:00.000,1-<2 years,All,All,2.9,204.3
Utah,2023-24,2024-02-17T00:00:00.000,1-<2 years,All,All,20.9,474.3
Tennessee,2023-24,2024-02-17T00:00:00.000,1-<2 years,All,All,0,268.4
RSV-NET,2023-24,2024-02-17T00:00:00.000,1-<2 years,All,All,5.3,457.2
Oregon,2023-24,2024-02-17T00:00:00.000,1-<2 years,All,All,0,208.1
New York,2023-24,2024-02-17T00:00:00.000,1-<2 years,All,All,0,441.9
New Mexico,2023-24,2024-02-17T00:00:00.000,1-<2 years,All,All,0,1917.5
Minnesota,2023-24,2024-02-17T00:00:00.000,1-<2 years,All,All,5.6,631
Michigan,2023-24,2024-02-17T00:00:00.000,1-<2 years,All,All,0,432.9
Maryland,2023-24,2024-02-17T00:00:00.000,1-<2 years,All,All,3.3,341
Georgia,2023-24,2024-02-17T00:00:00.000,1-<2 years,All,All,2.1,293.7
Connecticut,2023-24,2024-02-17T00:00:00.000,1-<2 years,All,All,8.8,423.7
Colorado,2023-24,2024-02-17T00:00:00.000,1-<2 years,All,All,22.6,908.5
California,2023-24,2024-02-17T00:00:00.000,1-<2 years,All,All,0,204.3
Minnesota,2022-23,2023-01-07T00:00:00.000,0-17 years (Children),All,All,2.4,177.1
Tennessee,2022-23,2023-01-07T00:00:00.000,0-17 years (Children),All,All,1.4,57.4
California,2022-23,2023-01-07T00:00:00.000,0-17 years (Children),All,"A/PI, non-Hispanic",2.1,40.6
Colorado,2022-23,2023-01-07T00:00:00.000,0-17 years (Children),All,All,6,316.7
RSV-NET,2022-23,2023-01-07T00:00:00.000,0-17 years (Children),All,All,2.8,149.1
Minnesota,2022-23,2023-01-07T00:00:00.000,0-17 years (Children),Male,All,2.2,193.8
Minnesota,2022-23,2023-01-07T00:00:00.000,0-17 years (Children),All,"White, non-Hispanic",2,138
Michigan,2022-23,2023-01-07T00:00:00.000,0-17 years (Children),All,"A/PI, non-Hispanic",0,55.5
California,2022-23,2023-01-07T00:00:00.000,0-17 years (Children),All,"AI/AN, non-Hispanic",0,64.3
Connecticut,2022-23,2023-01-07T00:00:00.000,0-17 years (Children),All,All,1,143.9
Georgia,2022-23,2023-01-07T00:00:00.000,0-17 years (Children),All,All,0.8,39.9
Michigan,2022-23,2023-01-07T00:00:00.000,0-17 years (Children),All,All,2.4,249.5
Oregon,2022-23,2023-01-07T00:00:00.000,0-17 years (Children),All,All,2,89.8
Maryland,2022-23,2023-01-07T00:00:00.000,0-17 years (Children),Male,All,1.9,130.5
RSV-NET,2022-23,2023-01-07T00:00:00.000,0-17 years (Children),All,"A/PI, non-Hispanic",2.9,99.3
Utah,2022-23,2023-01-07T00:00:00.000,0-17 years (Children),Male,All,6.6,245.8
New Mexico,2022-23,2023-01-07T00:00:00.000,0-17 years (Children),All,"A/PI, non-Hispanic",0,385.1
California,2022-23,2023-01-07T00:00:00.000,0-17 years (Children),Female,All,3,72.6
Connecticut,2022-23,2023-01-07T00:00:00.000,0-17 years (Children),All,"Black, non-Hispanic",0,159.6
